"ID","Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?","Stock","Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price","Categories","Tags","Shipping class","Images","Download limit","Download expiry days","Parent","Grouped products","Upsells","Cross-sells","External URL","Button text","Position","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global"
"549","variable","","Small Driftwood Tote","1","0","visible","The perfect daily carryall, the Small Driftwood Tote seamlessly transitions from dockside mornings to farmers market afternoons. Handcrafted from heavy, industrial-grade 18oz cotton canvas and premium full-grain, vegetable-tanned leather, it is built for exceptional durability. Featuring comfortable, leather-wrapped handles for a confident grip and smart pockets to keep essentials organized, this timeless bag is backed by a lifetime guarantee.","The tote you&#8217;ll reach for every day — from dockside mornings to farmers market afternoons. Crafted from heavy 18oz canvas and full-grain, vegetable-tanned leather, it&#8217;s built to last and look good doing it. Leather-wrapped straps fit comfortably in hand or over the shoulder. Smart pockets keep essentials close, while durable stitching stands up to years of use. Whether you&#8217;re carrying a book, a tablet, or snacks for the journey, it&#8217;s ready to go. Backed by our lifetime guarantee — pairs well with the Large Driftwood Tote. Discover Your Will.  Materials  Industrial grade 18oz 100% cotton canvas Full-grain, vegetable tanned leather YKK nylon zipper Industrial grade heavy gauge nylon thread Imported  Dimensions  Height: 12.5&#8243; Length: 20&#8243; Width: 7.5&#8243; Handle Drop &#8211; 10.25&#8243;","","","taxable","","1","","","0","0","","","","","1","","","57.00","Leather &amp; Canvas Backpacks, Women's Bags","","","https://amezashopify.com/wp-content/uploads/2026/05/31850_SMALL_DRIFTWOOD_TOTE_RED_002.webp, https://amezashopify.com/wp-content/uploads/2026/05/31850_SMALL_DRIFTWOOD_TOTE_RED_003.webp, https://amezashopify.com/wp-content/uploads/2026/05/31850_SMALL_DRIFTWOOD_TOTE_YELLOW_002.webp, https://amezashopify.com/wp-content/uploads/2026/05/31850_SMALL_DRIFTWOOD_TOTE_RED_001.webp, https://amezashopify.com/wp-content/uploads/2026/05/31850_SMALL_DRIFTWOOD_TOTE_RED_000.webp, https://amezashopify.com/wp-content/uploads/2026/05/31850_SMALL_DRIFTWOOD_TOTE_RED_004.webp, https://amezashopify.com/wp-content/uploads/2026/05/31850_SMALL_DRIFTWOOD_TOTE_YELLOW_003.webp, https://amezashopify.com/wp-content/uploads/2026/05/31850_SMALL_DRIFTWOOD_TOTE_YELLOW_001.webp, https://amezashopify.com/wp-content/uploads/2026/05/31850_SMALL_DRIFTWOOD_TOTE_YELLOW_000.webp, https://amezashopify.com/wp-content/uploads/2026/05/31850_SMALL_DRIFTWOOD_TOTE_YELLOW_004.webp","","","","","","","","","0","Color","Red|Yellow","1","1","","","0","0","","","0","0"
"536","variable","","Simple Mini Hobo Shoulder","1","0","visible","Crafted from smooth, waxy full-grain leather that softens and develops a rich patina with use, the Simple Mini Hobo Shoulder bag features a relaxed, lightweight, and unlined silhouette. A secure top YKK zipper opens to a streamlined interior with a single slip pocket for easy organization, while reinforced stitching and antique brass hardware provide long-lasting durability. Equipped with a removable shoulder strap, it&#8217;s an effortless everyday staple backed by a lifetime guarantee.","The Simple Hobo Shoulder is crafted from smooth, waxy full-grain leather that softens and develops character with every day of use. Lightweight and unlined, the construction highlights the honesty of the material, creating a relaxed silhouette designed to move naturally with you.  A top YKK zipper keeps your essentials secure, opening to an unlined interior with a single slip pocket for simple organization. Reinforced stitching and rivet placement add strength where it matters most, finished with tone-on-tone stitching for a clean, understated look. Antique brass hardware provides lasting durability, while the removable shoulder strap allows for versatile, comfortable carry.  Finished with waxed cord accents and the signature hanging Will Leather Goods medallion, the Simple Hobo Shoulder is easy to wear, dependable in build, and made for everyday use.  We stand behind our product—guaranteed for life.  Materials  Full grain vegetable-tanned leather. Antique Brass hardware. Thick wax chord. Imported  Dimensions Bag:   Shoulder Drop: 9.5in Height: 8.75in Width: 10.5in Depth: 2.75in  Internal Pocket :   Height: 4.25in Width: 8.25in","","","taxable","","1","","","0","0","","","","","1","","","165.00","Leather &amp; Canvas Backpacks, Women's Bags","","","https://amezashopify.com/wp-content/uploads/2026/05/31926_SIMPLE_HOBO_SHOULDER_BLUE_001-1.webp, https://amezashopify.com/wp-content/uploads/2026/05/31926_SIMPLE_HOBO_SHOULDER_BLUE_003.webp, https://amezashopify.com/wp-content/uploads/2026/05/31926_SIMPLE_HOBO_SHOULDER_BLUE_004.webp, https://amezashopify.com/wp-content/uploads/2026/05/31926_SIMPLE_HOBO_SHOULDER_BLUE_002.webp, https://amezashopify.com/wp-content/uploads/2026/05/31926_SIMPLE_HOBO_SHOULDER_BLUE_003-1.webp, https://amezashopify.com/wp-content/uploads/2026/05/31926_SIMPLE_HOBO_SHOULDER_BLUE_001.webp, https://amezashopify.com/wp-content/uploads/2026/05/31926_SIMPLE_HOBO_SHOULDER_BLUE_005.webp, https://amezashopify.com/wp-content/uploads/2026/05/31926_SIMPLE_HOBO_SHOULDER_BLUE_006.webp, https://amezashopify.com/wp-content/uploads/2026/05/31926_SIMPLE_HOBO_SHOULDER_BLUE_004-1.webp, https://amezashopify.com/wp-content/uploads/2026/05/31926_SIMPLE_HOBO_SHOULDER_BLUE_002-1.webp, https://amezashopify.com/wp-content/uploads/2026/05/31926_SIMPLE_HOBO_SHOULDER_BLUE_003-2.webp, https://amezashopify.com/wp-content/uploads/2026/05/31926_SIMPLE_HOBO_SHOULDER_BLUE_001-1.webp","","","","","","","","","0","Color","Blue","1","1","","","0","0","","","0","0"
"530","variable","","365 All Leather Tote","1","0","visible","","Our 365 Signature Leather Tote is handcrafted from a soft and supple full-grain, vegetable-tanned leather. Featuring large exterior pockets and a detachable 100% cotton herringbone adjustable crossbody strap with a removable gel shoulder pad for convenient carrying and easy access to your essentials. Its roomy interior has three leather pockets for organization and is lined with our rustic Signature plaid. The All Leather Tote has box-stitched rolled leather handles with dual-rivet reinforcement to ensure its durability. We stand behind our product—guaranteed for life.  Materials  Full-grain, vegetable tanned leather Steel-molded Zamac Hardware Steel RivetsSteel Snaps Industrial grade heavy guage nylon thread Brass YKK Zippers Imported  Dimensions  Height: 12.5&#8243; Length: 19&#8243; Width: 5.25&#8243;2 Exterior Side Pockets &#8211; H: 6.875&#8243; L: 10.75&#8243; Interior Laptop Pocket &#8211; H: 10.25&#8243; L: 18&#8243; Interior Zip Pocket &#8211; H: 5&#8243; L: 9.5&#8243; Interior Key Clip: H: .75&#8243; L: 0.375&#8243; Pocket Below Handle &#8211; H: 5&#8243; L: 8.25&#8243; Handle Drop &#8211; 9.75&#8243; Strap &#8211; 39.5&#8243; &#8211; 63.5&#8243;","","","taxable","","1","","","0","0","","","","","1","","","465.00","Leather &amp; Canvas Backpacks, Women's Bags","","","https://amezashopify.com/wp-content/uploads/2026/05/30022_ALL_LEATHER_SATCHELL_BLACK_002.webp","","","","","","","","","0","Color","Black|Tan","1","1","","","0","0","","","0","0"
"520","variable","","Simple Mini Satchel","1","0","visible","Crafted from smooth, waxy full-grain leather that beautifully softens with age, the Simple Mini Satchel features a lightweight, unlined construction that celebrates its natural materials. A secure top YKK zipper opens to a streamlined interior with a single slip pocket, while reinforced stitching and antique brass hardware provide enduring strength. Complete with a detachable shoulder strap for hands-free carrying, it&#8217;s a dependable everyday companion backed by a lifetime guarantee.","The Simple Mini Satchel is crafted from smooth, waxy full-grain leather that softens and develops character with every day of use. Its lightweight, unlined construction highlights the honesty of the material, creating a compact silhouette that feels natural, easy, and built for the long road ahead.  A top YKK zipper keeps your essentials secure, opening to an unlined interior with a single slip pocket for simple organization. Reinforced stitching and rivet placement add strength where it matters most, while durable, tone-on-tone stitching ensures a clean, understated finish. Antique brass hardware brings a timeless touch, designed to wear beautifully over time.  Finished with waxed cord accents, a detachable shoulder strap for hands-free carry, and the signature hanging Will Leather Goods medallion, the Simple Mini Satchel is dependable in build and made to move with you—day after day. We stand behind our product—guaranteed for life.  Materials  Full grain vegetable-tanned leather. Antique Brass hardware. Thick wax chord. Imported  Dimensions BAG:   Drop: 4in Height: 9.25in Width: 9.75in Depth: 3.75in  INTERNAL POCKET:   Height: 4.5in Width: 7.75in","","","taxable","","1","","","0","0","","","","","1","","","175.00","Leather &amp; Canvas Backpacks, Women's Bags","","","https://amezashopify.com/wp-content/uploads/2026/05/31924_SMALL_SIMPLE_TOTE_GREEN_001.webp, https://amezashopify.com/wp-content/uploads/2026/05/31924_SMALL_SIMPLE_TOTE_BLACK_002_0aea3e6c-4ba8-4e2e-8a48-b7acbdb24676.webp, https://amezashopify.com/wp-content/uploads/2026/05/31924_SMALL_SIMPLE_TOTE_BLACK_001_4393a926-9f24-43f2-822c-633d65eecdb1.webp, https://amezashopify.com/wp-content/uploads/2026/05/31924_SMALL_SIMPLE_TOTE_GREEN_005.webp, https://amezashopify.com/wp-content/uploads/2026/05/31924_SMALL_SIMPLE_TOTE_GREEN_004.webp, https://amezashopify.com/wp-content/uploads/2026/05/31924_SMALL_SIMPLE_TOTE_GREEN_003.webp, https://amezashopify.com/wp-content/uploads/2026/05/31924_SMALL_SIMPLE_TOTE_GREEN_002.webp","","","","","","","","","0","color","Green|Black","1","1","","","0","0","","","0","0"
"510","variable","","Everyday Double Zip Leather Crossbody","1","0","visible","Handcrafted from premium full-grain, vegetable-tanned leather, the Everyday Double Zip Crossbody is the ultimate hands-free companion. It features two spacious zippered compartments for effortless organization, a quick-access exterior snap pocket, and a detachable, highly adjustable strap that transitions seamlessly from shoulder to crossbody wear. Built to last with brass YKK zippers and steel rivet reinforcements, it’s backed by a lifetime guarantee.","Our Signature Leather Everyday Double Zip Crossbody is handcrafted from full-grain, vegetable-tanned leather. Two zippered compartments allow for sensible organization for your hands-free carrying needs, while an exterior snap pocket allows for quick and convenient access. Our detachable strap is highly adjustable, allowing the Everyday to be worn on the shoulder or across the body. Steel rivet reinforcements and brass YKK zippers ensure the bag will last a lifetime. We stand behind our product—guaranteed for life.  Materials  Full-grain, vegetable tanned leather Steel-molded Zamac Hardware Steel Rivets Steel Snaps Industrial grade heavy gauge nylon thread Brass YKK Zippers Imported  Dimensions  Height: 6.25 Length: 8.25 Width: 2.5 Exterior Pocket &#8211; H: 4.5, L: 7.25 Interior Zipper Pocket &#8211; H: 4.5,  L: 4.75 Card Slots &#8211; H: 3,  L: 3.625 2 Interior Zipper Pockets &#8211; H: 3.5, H: 5.25 Strap: 45, &#8211; 55.5","","","taxable","","1","","","0","0","","","","","1","","","255.00","Leather &amp; Canvas Backpacks, Women's Bags","","","https://amezashopify.com/wp-content/uploads/2026/05/Everyday-Double-Zip-Leather-Crossbody.webp, https://amezashopify.com/wp-content/uploads/2026/05/31734_EVERYDAY_DOUBLEZIP_CROSSBODY_COGNAC_AND_TAN_003.webp, https://amezashopify.com/wp-content/uploads/2026/05/31734_EVERYDAY_DOUBLEZIP_CROSSBODY_BLACK_AND_COGNAC_003.webp, https://amezashopify.com/wp-content/uploads/2026/05/31734_EVERYDAY_DOUBLEZIP_CROSSBODY_BLACK_AND_COGNAC_002.webp, https://amezashopify.com/wp-content/uploads/2026/05/Everyday-Double-Zip-Leather-Crossbody-2.webp, https://amezashopify.com/wp-content/uploads/2026/05/31734_EVERYDAY_DOUBLEZIP_CROSSBODY_RED_AND_COGNAC_003.webp, https://amezashopify.com/wp-content/uploads/2026/05/31734_EVERYDAY_DOUBLEZIP_CROSSBODY_RED_AND_COGNAC_002.webp","","","","","","","","","0","Color","Black/Cognac|Red/Cognac","1","1","","","0","0","","","0","0"
"500","variable","","Hand Painted Color Block Belt","1","0","visible","Handcrafted from heavyweight, full-grain, vegetable-tanned leather, each Hand-Painted Color-Block Belt is an individual work of art. Artisans meticulously hand-paint the leather and add intentional creases to deliver a beautifully rich, time-worn vintage effect. Completed with a steel-molded, brass-finish buckle secured by custom-engraved Chicago screws, it offers easy customization for any 38mm buckle and comes backed by a lifetime guarantee.","Our Hand-Painted Color-Block Belt is handcrafted with heavyweight, full-grain, vegetable-tanned leather. Our artisans hand-paint each belt and add creases for a time-worn, vintage effect. The steel-molded, brass-finish buckle is connected to the strap with cow-engraved Chicago screws, allowing the buckle to be switched out for another 38-millimeter buckle of your choice. The Hand Painted Color Block Belt is built to last a lifetime. We stand behind our product—guaranteed for life.  Materials  Heavy weight, full-grain, vegetable tanned leather Steel-molded brass finish buckle Imported  DIMENSIONS  38mm size 2 Antique Brass Cow Rivets: 1cm Diameter Antique Brass Buckle: 40mm L: 2&#8243; H: 2.25&#8243; W: 0.375&#8243; 7 Holes For Adjustment | 0.5&#8243; Belt Loop","","","taxable","","1","","","0","0","","","","","1","","","125.00","Leather Belts, Women Belts","","","https://amezashopify.com/wp-content/uploads/2026/05/Hand-Painted-Color-Block-Belt.webp, https://amezashopify.com/wp-content/uploads/2026/05/Hand-Painted-Color-Block-Belt-2.webp, https://amezashopify.com/wp-content/uploads/2026/05/Hand-Painted-Color-Block-Belt-3.webp","","","","","","","","","0","Size","32|34|36|38|40|42","1","1","Color","Multi/Cognac","1","1","","","0","0"
"490","variable","","Baez Wild Ones Belt","1","0","visible","Rooted in a spirit of artistry and independence, the Baez Wild Ones Belt features premium antiqued, full-grain vegetable-tanned leather beautifully adorned with western filigree embossing, antique brass circular studs, and central antique silver diamond studs. Complete with a raw backing for an authentic vintage feel, it features a decorative &#8220;s&#8221;-shaped center-bar buckle secured by a custom Chicago screw for easy customization.","Named with a spirit of artistry and independence, the Baez Wild Ones Belt draws inspiration from music, movement, and self-expression. Its timeless construction and rugged details create a belt that feels both deeply personal and endlessly wearable.  Features  Antiqued, full grain vegetable-tanned leather. Antique brass, decorative, &#8220;s&#8221;-shaped center-bar buckle &#8212; kept w/a branded chicago screw for easy customization. Included w/an antique brass, branded travel screwdriver. Ornamented with an array of antique brass circular studs accenting its western filigree-inspired embossing, finished w/antique silver diamond studs running down the center length of the strap. Raw backing for a vintaged feel. 7 belt holes.  Materials  Full grain, vegetable-tanned leather. Antique brass and antique silver hardware. Imported  Dimensions  Width: 40mm Thickness: 3-3.3mm Sizes Offered: 32&#8243; &#8211; 42&#8243;","","","taxable","","1","","","0","0","","","","","1","","","145.00","Leather Belts, Women Belts","","","https://amezashopify.com/wp-content/uploads/2026/05/Baez-Wild-Ones-Belt.webp, https://amezashopify.com/wp-content/uploads/2026/05/Baez-Wild-Ones-Belt-2.webp, https://amezashopify.com/wp-content/uploads/2026/05/Baez-Wild-Ones-Belt-3.webp","","","","","","","","","0","Size","32|34|36|38|40|42","1","1","Color","Honey","1","1","","","0","0"
"456","variable","","Western Lace Belts","1","0","visible","Handcrafted for ultimate rugged durability, this belt is built from heavyweight, full-grain, vegetable-tanned American bison leather with a distinctive shrunken texture. It features a steel-molded antiqued buckle attached via custom-engraved Chicago screws, allowing you to easily swap it out for any 38mm buckle of your choice. A 40mm staple backed by a lifetime guarantee.","Our Western Lace Belt is handcrafted with full-grain, vegetable-tanned leather. The tapered strap is hand-laced and features a steel-molded, filigree-engraved, rope-edge three-piece Western buckle set in an antiqued, sterling silver finish. Cow-engraved Chicago screws allow you to switch out the 25mm buckle. The Western Lace Belt is built to last a lifetime. We stand behind our product—guaranteed for life.  Materials  Full-grain, vegetable tanned leather Steel-molded, antiqued, sterling silver finish Imported  Dimensions  25mm To 30mm TAPER Length: 32&#8243; &#8211; 42&#8243;","","","taxable","","1","","","0","0","","","","","1","","","145.00","Leather Belts, Women Belts","","","https://amezashopify.com/wp-content/uploads/2026/05/Western-Lace-Belt.webp, https://amezashopify.com/wp-content/uploads/2026/05/Western-Lace-Belt-2-1.webp, https://amezashopify.com/wp-content/uploads/2026/05/Western-Lace-Belt6.webp, https://amezashopify.com/wp-content/uploads/2026/05/Western-Lace-Belt5.webp, https://amezashopify.com/wp-content/uploads/2026/05/Western-Lace-Belt4.webp, https://amezashopify.com/wp-content/uploads/2026/05/Western-Lace-Belt-3.webp","","","","","","","","","0","Size","36|38|40|42|44","1","1","Color","Black|Cognac","1","1","","","0","0"
"435","variable","","Shrunken American Bison Belt","1","0","visible","Handcrafted for ultimate rugged durability, this belt is built from heavyweight, full-grain, vegetable-tanned American bison leather with a distinctive shrunken texture. It features a steel-molded antiqued buckle attached via custom-engraved Chicago screws, allowing you to easily swap it out for any 38mm buckle of your choice. A 40mm staple backed by a lifetime guarantee.","Our American Bison Belt is handcrafted from heavyweight, full-grain, vegetable-tanned American bison leather. The steel-molded antiqued buckle is connected to the strap with WILL Cow engraved Chicago screws, allowing the buckle to be switched out for another 38-millimeter buckle of your choice. The Shrunken American Bison Belt is built to last a lifetime. We stand behind our product—guaranteed for life.  Materials  Heavy weight full-grain vegetable-tanned American. Bison leather Steel-molded, antiqued buckle. Imported  Domensions  40mm | 32&#8243;-44&#8243; 7 holes for adjustment","","","taxable","","1","","","0","0","","","","","1","","","105.00","Leather Belts, Women Belts","","","https://amezashopify.com/wp-content/uploads/2026/05/60400_SHRUNKEN_BUFFALO_BELT_BROWN_00_038c92ca-dcdb-423b-b4f1-63a11fdfe5c3.webp, https://amezashopify.com/wp-content/uploads/2026/05/60400_SHRUNKEN_BUFFALO_BELT_BLACK_00_95aa3bef-196e-441e-a9b8-eb743b4f087e.webp, https://amezashopify.com/wp-content/uploads/2026/05/60400_SHRUNKEN_BUFFALO_BELT_BLACK_002_4ac2d9b5-852e-42d5-b805-4249d4cc3178.webp, https://amezashopify.com/wp-content/uploads/2026/05/60400_SHRUNKEN_BUFFALO_BELT_BLACK_003_c2853de7-3add-47eb-838d-eda73dc068ea.webp, https://amezashopify.com/wp-content/uploads/2026/05/60400_SHRUNKEN_BUFFALO_BELT_BROWN_003_ea729fb7-cd9a-40c2-b3df-053e26b3b56a.webp, https://amezashopify.com/wp-content/uploads/2026/05/60400_SHRUNKEN_BUFFALO_BELT_BROWN_002_78e0224e-a2a3-4bc2-bf16-5c38462a5bef.webp","","","","","","","","","0","Size","32|34|36|38|40|42","1","1","Color","Black|Cognac","1","1","","","0","0"
"407","variable","","Saddle Belt","1","0","visible","Reimagined from a cherished family heirloom, this classic 35mm jean and khaki belt is crafted from premium, full-grain vegetable-tanned leather—the same resilient grade used for equestrian saddles and harnesses. Infused with natural oils and waxes for a stunning, durable finish, it&#8217;s beautifully completed with an antique brass roller buckle.","Reimagined from a cherished belt inherited by Will from his grandfather, this classic jean belt is crafted from the same premium leather used for harnesses, bridles, and saddles. This classic jean and khaki belt is enriched with natural oils, waxes, and tallow, resulting in a stunning finish and a resilient product. The classic roller buckle is finished with antique brass.  Features  Width 35mm – 1.38 inches Sizes: 32&#8243; &#8211; 42&#8243;  Materials  Full Grain Vegetable-Tanned Leather Antique Silver/Brass Hardware Imported","","","taxable","","1","","","0","0","","","","","1","","","105.00","Leather Belts, Women Belts","","","https://amezashopify.com/wp-content/uploads/2026/05/Saddle-Belt.webp, https://amezashopify.com/wp-content/uploads/2026/05/60078_SADDLE_BELT_TAN_002_9110d29c-e5a5-4cd8-a68c-40cdbfa7578f-2.webp, https://amezashopify.com/wp-content/uploads/2026/05/Saddle-Belt3.webp","","","","","","","","","0","Size","32|34|36|38|40|42 44","1","1","Color","Light Brown|Black|Dark Brown|Medium Brown","1","1","","","0","0"
